text;PhraseIntent
neuer standort;account_start_stuff
standort hinzufügen;account_start_stuff
einen neuen benutzer hinzufügen;account_start_stuff
externes telefon hinzufügen;account_start_stuff
gerät hinzufügen;account_start_stuff
ich kann kein neues mobilgerät hinzufügen;account_start_stuff
ich kann kein telefon-gerät hinzufügen;account_start_stuff
kann keine esim hinzufügen;account_start_stuff
mobilfunknummer hinzufügen;account_start_stuff
neue voicemail hinzufügen nicht möglich;account_start_stuff
neues voip telefon hinzufügen;account_start_stuff
softphone hinzufügen;account_start_stuff
telefon ohne benutzer in gruppe hinzufügen;account_start_stuff
voip telefon hinzufügen;account_start_stuff
wie kann ich eine grupe einrichten;account_start_stuff
wo finde ich gerät hinzufügen;account_start_stuff
bräuchte ne neue schöne rufnummer;account_start_stuff
dann bekomme ich ein neue nummer;account_start_stuff
gibt es eine möglichkeit eine französische rufnummer zu buchen;account_start_stuff
guten tag besteht noch die möglichkeit virtuelle ortsrufnummern festnetznummern zu buchen wie früher;account_start_stuff
hallo ich möchte neue rufnummer buchen;account_start_stuff
hallo ich würde gern eine zweite faxnummer einrichten ist das möglich;account_start_stuff
hallo ist es auch möglich eine 0800 nummer zu buchen;account_start_stuff
hallo ist es möglich eine neue nummer zu bekommen;account_start_stuff
hallo ist es möglich eine österreichische nummer zu buchen oder eine 0800 nummer;account_start_stuff
hallo kann ich eine zweite mobilnummer haben;account_start_stuff
hi ich brauche eine wiener festnetznummer;account_start_stuff
ich benötige eine weitere rufnummer;account_start_stuff
ich brauche 2 rufnummer mit anderer ortsvorwahl;account_start_stuff
ich hätt gern eine neue handy nr;account_start_stuff
ich kann keine mobilnummer buchen;account_start_stuff
ich kann keine ortsrufnummer hinzubuchen;account_start_stuff
ich möchte eine spezifische internationale rufnummer buchen;account_start_stuff
ich möchte gerne 1 kostenlose ortrufnummer buchen ich bin doch bei sipagte starter;account_start_stuff
ich möchte gerne noch eine nummer haben;account_start_stuff
ich würde gerne ein voip leitung aktivieren;account_start_stuff
ist es möglich eine österreichische nummer zu bekommen;account_start_stuff
kann ich eine int rufnummer für nl buchen;account_start_stuff
kann man bei euch auch handynummern buchen;account_start_stuff
kann man bei ihnen eigentlich auch 0800 rufnummer nutzen / buchen gruß kim muster;account_start_stuff
mehr handynummern;account_start_stuff
mobilfunknummer bekommen;account_start_stuff
mobilrufnummer buchen;account_start_stuff
möchte zu neuem anschluss eine ortsnummer hinzufügen;account_start_stuff
neue buchung 3er telefonnummer block;account_start_stuff
neue handynummer erhalten;account_start_stuff
neue rufnummer;account_start_stuff
nummern hinzufügen;account_start_stuff
ortsrufnummer buchen;account_start_stuff
rufnummer aktivieren;account_start_stuff
rufnummer buchen;account_start_stuff
sprachkanäle buchen;account_start_stuff
telefonnummern kaufen;account_start_stuff
weitere nummer;account_start_stuff
weitere ortsrufnummer;account_start_stuff
wie bekomme ich eine kostenlose nummer;account_start_stuff
wie bekomme ich eine neue ortsrufnummer;account_start_stuff
wie bekomme ich festnetznummer;account_start_stuff
wie buche ich rufnummern;account_start_stuff
wie erhalte ich meine telefonnummer;account_start_stuff
wie erstelle ich eine 2 nummer;account_start_stuff
wie kann ich eine mobilfunkrufnummer hinzufügen;account_start_stuff
wir benötigen 6 französische telefonummern;account_start_stuff
wir benötigen dringend eine uk rufnummer;account_start_stuff
wo kann ich den eine mobilfunknummer dazubuchen das free paket;account_start_stuff
woher bekommen wir die mobilfunk-nr;account_start_stuff
würde gerne rufnummern kaufen;account_start_stuff
zusätzliche handynummer;account_start_stuff
zusätzliche rufnummer;account_start_stuff
neue adresse;account_start_stuff
neue bankverbindung;account_start_stuff
neue bankverbindung hinterlegen;account_start_stuff
neue bankverbindung wird nicht akzeptiert;account_start_stuff
neue kreditkarte;account_start_stuff
neuer standort anderer name möglich;account_start_stuff
hallo kann ich eine neue rufnummer bekommen wenn ich das möchte;account_start_stuff
account aktivierung;account_start_stuff
activation;account_start_stuff
aktivierung;account_start_stuff
konto aktivieren;account_start_stuff
aktivieren sie das konto;account_start_stuff
benötige den starcode;account_start_stuff
benötige einen startcode;account_start_stuff
brief bekommen mit verifizierungscode;account_start_stuff
dazu brauche ich den startcode;account_start_stuff
guten tag woher bekomme ich den startcode;account_start_stuff
hallo wie bekomme ich den aktivierungscode;account_start_stuff
hallo wo bekomme ich meinen aktivierungscode für den account her;account_start_stuff
ich benötige den startcode;account_start_stuff
ich benötige einen startcode;account_start_stuff
ich brauche einen startcode;account_start_stuff
ich möchte ein konto aktivieren;account_start_stuff
ich will den startcode per haben bitte;account_start_stuff
sip konto aktievierung;account_start_stuff
startcode benötig;account_start_stuff
wie bekomme ich den aktivierungscode;account_start_stuff
wie kann ich meinen account aktivieren;account_start_stuff
würde gerne mein konto aktivieren;account_start_stuff
brauche einen neuen startcode;account_start_stuff
guten tag ich würde gerne einen neuen startcode anfordern;account_start_stuff
hallo ich benötige einen neuen startcode;account_start_stuff
kann ich einen neuen startcode erhalten;account_start_stuff
neu aktivieren;account_start_stuff
neuen startcode;account_start_stuff
neuen startcode anfordern;account_start_stuff
neuen startcode beantragen;account_start_stuff
neuer startcode;account_start_stuff
verifizierung erneut starten;account_start_stuff
wie bekomme ich einen neuen start code vielen dank;account_start_stuff
wie erhalte ich einen neuen startcod;account_start_stuff
wie kann ich meinen startcode noch einmal anfordern;account_start_stuff
a51 einrichten;account_start_stuff
app einrichten;account_start_stuff
auerswald einrichten;account_start_stuff
einrichtung der gegaste n870 ip pro;account_start_stuff
einrichtung des sipgate an einem speedport w724v;account_start_stuff
einrichtung ip-telefon;account_start_stuff
einrichtung voip bei fritz box 7582 vp;account_start_stuff
einrichtung zoiper;account_start_stuff
einrichtung zoiper fone;account_start_stuff
externes telefon einrichten;account_start_stuff
fritz box einrichten;account_start_stuff
fritzbox einrichten;account_start_stuff
grandstream einrichten;account_start_stuff
hallo wie kann ich ein 2. voiptelefon einrichten;account_start_stuff
ich muss mein gerät neu einrichte;account_start_stuff
linphone einrichten;account_start_stuff
mobilgerät einrichten;account_start_stuff
softphone einrichten;account_start_stuff
soll auf einer smartwatch eingerichtet werden;account_start_stuff
telefon einrichten;account_start_stuff
voip iphone einrichten;account_start_stuff
wie füge ich das softphone zu;account_start_stuff
wie kann ich meine fritz box einrichten;account_start_stuff
wie richte ich die fritz box ein;account_start_stuff
wie richte ich mein handy ein;account_start_stuff
voip-telefon hinzufügen;account_start_stuff
weiteres telefon hinzufügen;account_start_stuff
zusätzliches telefon mit gleicher rufnummer einrichten;account_start_stuff
kontakt hinzufügen;account_start_stuff
kontakte anlegen;account_start_stuff
kontakte manuell anlegen;account_start_stuff
neuer kontakt;account_start_stuff
emailadresse fax hinzufügen;account_start_stuff
crm integration buchen;account_start_stuff
guten tag wie aktiviere bzw beauftrage ich die salesforce erweiterung;account_start_stuff
anlegen von faxempfang;account_start_stuff
einrichtung gruppenfax;account_start_stuff
fax einrichten;account_start_stuff
fax hinzubuchen für 3,95 €;account_start_stuff
fax hinzufügen;account_start_stuff
fax nr erhalten;account_start_stuff
faxanschluß erstellen;account_start_stuff
faxnummer buchen;account_start_stuff
hallo ich habe eine frage kann ich eine fax-nummer bekommen;account_start_stuff
hallo ich möchte das feature faxanschluss buchen;account_start_stuff
hallo ich möchte einen faxanschluss buchen;account_start_stuff
hallo ich möchte gerne computerfax über sipgate einrichten;account_start_stuff
hallo liebes team ich möchte einen faxanschluss dazu buchen wie mache ich da;account_start_stuff
hallo wie kann ich eine faxnummer buchen bzw einrichten;account_start_stuff
hallo wie kann ich eine us fax nummer erstellen;account_start_stuff
ich kann das feature fax-empfang nicht aktivieren;account_start_stuff
ich möchte ein fax einrichten;account_start_stuff
ich möchte einen faxanschluss einrichten;account_start_stuff
ich möchte faxanschluss buchen- wo kann ich das buchen;account_start_stuff
ich möchte mein fax einrichten;account_start_stuff
web-faxanschluss einrichten;account_start_stuff
webfax einrichten;account_start_stuff
wie kann ich ein fax einrichten;account_start_stuff
wie kann ich eine faxnummer einrichten;account_start_stuff
wie richte ein fax für eine gruppe ein;account_start_stuff
wie richte ich einen faxanschluss ein;account_start_stuff
wie richtet man den faxdrucker ein;account_start_stuff
wir richte ich einen faxanschluss ein;account_start_stuff
wo kann ich das feature faxempfang buchen der feature store funktioniert nicht;account_start_stuff
anrufweiterleitung einrichten;account_start_stuff
einrichten einer rufweiterleitung;account_start_stuff
hallo die funktion weiterleitung ist ausgeblendet wie aktiviere ich die denn;account_start_stuff
hallo wie kann ich eine weiterleitung einrichten die felder sind bei mir grau;account_start_stuff
hallo wie kann ich im sipgate basic portal eine weiterleitung einrichten;account_start_stuff
hallo wo stelle ich die rufumleitung ein;account_start_stuff
hallo wo stellt mann die rufumleitung ein;account_start_stuff
hallo zusammen ist es möglich über das online portal eine weiterleitung einzurichten;account_start_stuff
ich möchte eine anrufweiterleitung einrichten;account_start_stuff
ich möchte eine rufumleitung einrichten;account_start_stuff
ich möchte eine zeitlich begrenzte rufumleitung einrichten;account_start_stuff
ich möchte gerne eine rufumleitung erstellen;account_start_stuff
ich versuche hier die weiterleitung einzurichten aber irgendwie klappt das nicht;account_start_stuff
ich will eine weierleitung einrichten;account_start_stuff
ich würde gerne eine anrufverteilung einrichten;account_start_stuff
kann ich eine rufumleitung einrichten;account_start_stuff
kann ich eine sip weiterleitung einrichten;account_start_stuff
kann ich eine umleitung auf mobilfunk einrichten;account_start_stuff
kann ich einen rufweiterleitung einrichten;account_start_stuff
kann ich weiterleitungen für meine rufnummer einrichten;account_start_stuff
können beim basic-tarif weiterleitungen eingerichtet werden;account_start_stuff
weiterleitung einrichten;account_start_stuff
wie kann ich eine rufumleitung einrichten;account_start_stuff
wie kann ich eine weiterleitung einrichten;account_start_stuff
wie kannich eine weiterleitung einrichten;account_start_stuff
wie richte ich eine rufweiterleitung ein;account_start_stuff
wo kann ich eine rufumleitung einrichten;account_start_stuff
ich würde gerne einen anrufbeantworter einrichten;account_start_stuff
kann ich einen anrufbeantworter einrichten;account_start_stuff
weiteren ab;account_start_stuff
wie aktiviere ich den anrufbeantworter;account_start_stuff
wie aktiviere ich die mailbox;account_start_stuff
wie aktiviert man den anrufbeantworter;account_start_stuff
wie kann ich den ab einrichten;account_start_stuff
wie kann ich den anrufbeantworter buchen;account_start_stuff
wie kann ich einen anrufbeantworter einrichten;account_start_stuff
wie richte ich die mailbox ein;account_start_stuff
wie schalte ich voicmail an;account_start_stuff
wo schalte ich den ab ein;account_start_stuff
wo wird der anrufbeantworter eingeschaltet;account_start_stuff
hallo ich würde gerne das wartefeld einrichten;account_start_stuff
wie kann ich ein wartefeld einfügen;account_start_stuff
daten buchen;account_start_stuff
datenflat buchen;account_start_stuff
datenvolumen buchen;account_start_stuff
hallo ich möchte gern minutenpakete buchen;account_start_stuff
hallo kann ich mobile daten buchen;account_start_stuff
ich brauche mehr datenvolumen;account_start_stuff
ich möchte bitte daten buchen;account_start_stuff
ich möchte bitte mehr datenvolumen buchen;account_start_stuff
ich möchte bitte mehr mobile daten buchen;account_start_stuff
ich möchte gerne mehr datensnacks buchen;account_start_stuff
ich würde gerne datenvolumen buchen;account_start_stuff
mobile daten buchen;account_start_stuff
mobile daten einrichten;account_start_stuff
wie kann ich datenkontingente buchen;account_start_stuff
wie kann ich internet dazu buchen;account_start_stuff
i message aktivierung;account_start_stuff
bekomm ich eine echte simkarte;account_start_stuff
bekomm ich von euch eine sim karte;account_start_stuff
bekomme ich als neukunde eine neue sim karte;account_start_stuff
bekomme ich auch eine normale simkarte fürs handy;account_start_stuff
bekomme ich auch eine richtige sim karte;account_start_stuff
bekomme ich auch eine sim karte;account_start_stuff
bekomme ich dann eine sim kate;account_start_stuff
bekomme ich die sim-karte von sipgate;account_start_stuff
bekomme ich ein simkarte;account_start_stuff
bekomme ich eine echte simkarte;account_start_stuff
bekomme ich eine nano sim-karte;account_start_stuff
bekomme ich eine plastik sim;account_start_stuff
bekomme ich eine plastik simkarte;account_start_stuff
bekomme ich eine plastik-sim-karte;account_start_stuff
bekomme ich eine richtige sim karte;account_start_stuff
bekomme ich eine sim card;account_start_stuff
bekomme ich eine sim karte;account_start_stuff
bekomme ich eine sim karte oder wie wird das gemacht;account_start_stuff
bekomme ich eine simkarte;account_start_stuff
bekomme ich such eine klassische sim kart;account_start_stuff
bekommt man eine sim karte;account_start_stuff
bekommt man eine simkarte;account_start_stuff
bekommt man hier eine sim-karte;account_start_stuff
benötige neue sim-karte;account_start_stuff
benötige sim karte;account_start_stuff
bestellung plastik sim karte;account_start_stuff
bestellung plastik sim karte wie;account_start_stuff
bieten sie auch plastik simkarten an;account_start_stuff
brauche aber ein echte sim;account_start_stuff
brauche eine sim karte;account_start_stuff
e sim anfordern;account_start_stuff
erhalte ich eine sim-karte;account_start_stuff
ersatz sim bestellen;account_start_stuff
es ist mir nicht möglich eine neue sim karte zu kaufen;account_start_stuff
esim bekommen;account_start_stuff
esim bestellen;account_start_stuff
esim buchen;account_start_stuff
esim hinzufügen;account_start_stuff
esim kaufen;account_start_stuff
esim neu;account_start_stuff
free sim karte bestellen;account_start_stuff
guten morgen wie kann ich eine neue esim erhalten;account_start_stuff
guten tag ich habe einen sipgate account kann ich darüber eine esim kaufen;account_start_stuff
guten tag ich möchte gern eine kostenlose sim-karte buchen wie geht das am besten;account_start_stuff
guten tag wie kommen wir an sim karten von sipgate;account_start_stuff
hallo - kann ich zusätzlich eine echte sim karte bestellen;account_start_stuff
hallo bekomme ich noch eine sim karte oder wie funktioniert das;account_start_stuff
